,Id,Top-Left,Bottom-Right,Centre,Top,Bottom,Left,Right,Top_Box,Bottom_Box,Left_Box,Right_Box,Cluster
112,112,"(800, 1039)","(928, 1118)","[864.0, 1078.5]","[864.0, 1039]","[864.0, 1118]","[800, 1078.5]","[928, 1078.5]","[124.8048476622603, 113]","[64.11123146532127, 120]","[143.05593311708537, 103]","[83.01355311032049, 121]",3
113,113,"(940, 1032)","(1027, 1118)","[983.5, 1075.0]","[983.5, 1032]","[983.5, 1118]","[940, 1075.0]","[1027, 1075.0]","[116.24543001770004, 114]","[48.303726564313855, 121]","[137.18053797824237, 122]","[149.25146565444507, 123]",3
114,114,"(1047, 1039)","(1136, 1111)","[1091.5, 1075.0]","[1091.5, 1039]","[1091.5, 1111]","[1047, 1075.0]","[1136, 1075.0]","[90.94641279346867, 115]","[57.68231964822497, 122]","[123.23960402403117, 121]","[81.78630692236935, 123]",3
115,115,"(1160, 1039)","(1194, 1101)","[1177.0, 1070.0]","[1177.0, 1039]","[1177.0, 1101]","[1160, 1070.0]","[1194, 1070.0]","[118.45674315968678, 123]","[135.11661629866254, 122]","[165.0605949341029, 106]","[210.55937404922156, 113]",3
116,116,"(309, 1114)","(384, 1183)","[346.5, 1148.5]","[346.5, 1114]","[346.5, 1183]","[309, 1148.5]","[384, 1148.5]","[111.47309092332553, 117]","[50.36119537898202, 124]","[191.44973230589798, 125]","[148.6783440854787, 109]",3
117,117,"(404, 1107)","(500, 1193)","[452.0, 1150.0]","[452.0, 1107]","[452.0, 1193]","[404, 1150.0]","[500, 1150.0]","[111.94306588619055, 118]","[48.023431780746364, 125]","[83.773504164503, 124]","[110.68988210310823, 126]",3
118,118,"(522, 1111)","(587, 1193)","[554.5, 1152.0]","[554.5, 1111]","[554.5, 1193]","[522, 1152.0]","[587, 1152.0]","[115.52056094046635, 119]","[43.04648650006177, 126]","[88.1036321612225, 125]","[117.51595636338071, 127]",3
119,119,"(607, 1111)","(718, 1193)","[662.5, 1152.0]","[662.5, 1111]","[662.5, 1193]","[607, 1152.0]","[718, 1152.0]","[124.14709017935137, 103]","[46.13296001775737, 127]","[83.7511193955042, 126]","[78.36612788698955, 128]",3
120,120,"(737, 1118)","(887, 1193)","[812.0, 1155.5]","[812.0, 1118]","[812.0, 1193]","[737, 1155.5]","[887, 1155.5]","[118.06989455403101, 129]","[84.78944509784222, 128]","[74.5821694508815, 119]","[68.01654210557899, 121]",3
121,121,"(914, 1121)","(996, 1193)","[955.0, 1157.0]","[955.0, 1121]","[955.0, 1193]","[914, 1157.0]","[996, 1157.0]","[102.77402395547233, 122]","[50.97548430373173, 130]","[108.89674007976548, 129]","[157.01273833673497, 123]",3
122,122,"(1025, 1121)","(1080, 1186)","[1052.5, 1153.5]","[1052.5, 1121]","[1052.5, 1186]","[1025, 1153.5]","[1080, 1153.5]","[106.09547586961472, 123]","[128.16493280144925, 130]","[160.8765054319617, 106]","[161.64467204334326, 107]",3
123,123,"(1105, 1114)","(1201, 1196)","[1153.0, 1155.0]","[1153.0, 1114]","[1153.0, 1196]","[1105, 1155.0]","[1201, 1155.0]","[184.2878183711555, 106]","[221.02601656818592, 130]","[239.5688836222267, 100]","[320.66532397501294, 94]",3
124,124,"(312, 1193)","(430, 1261)","[371.0, 1227.0]","[371.0, 1193]","[371.0, 1261]","[312, 1227.0]","[430, 1227.0]","[117.16334751107105, 125]","[207.8250466137323, 126]","[253.16002844051033, 109]","[145.34527856108707, 118]",3
125,125,"(440, 1196)","(524, 1265)","[482.0, 1230.5]","[482.0, 1196]","[482.0, 1265]","[440, 1230.5]","[524, 1230.5]","[100.43032410581975, 126]","[185.82787734890587, 127]","[165.8651560756508, 108]","[159.19956030090032, 119]",3
126,126,"(532, 1189)","(621, 1271)","[576.5, 1230.0]","[576.5, 1189]","[576.5, 1271]","[532, 1230.0]","[621, 1230.0]","[102.51951033827659, 127]","[164.0990554512731, 128]","[163.62457028209425, 109]","[158.78444508200417, 110]",3
127,127,"(631, 1210)","(701, 1268)","[666.0, 1239.0]","[666.0, 1210]","[666.0, 1268]","[631, 1239.0]","[701, 1239.0]","[71.43703521283621, 128]","[173.95545406798834, 129]","[168.6312545170675, 110]","[138.90014398840628, 120]",3
128,128,"(713, 1196)","(757, 1261)","[735.0, 1228.5]","[735.0, 1196]","[735.0, 1261]","[713, 1228.5]","[757, 1228.5]","[108.20582239417618, 129]","[189.5323191437281, 111]","[175.9957385847737, 118]","[179.9006670360063, 130]",3
129,129,"(764, 1196)","(909, 1271)","[836.5, 1233.5]","[836.5, 1196]","[836.5, 1271]","[764, 1233.5]","[909, 1233.5]","[109.454328374898, 130]","[194.45436482630058, 112]","[130.17104132640256, 119]","[164.29318306004058, 122]",3
130,130,"(918, 1203)","(955, 1278)","[936.5, 1240.5]","[936.5, 1203]","[936.5, 1278]","[918, 1240.5]","[955, 1240.5]","[133.25351777720542, 120]","[208.3698634639856, 113]","[170.7629936490925, 112]","[214.52855287816584, 114]",3
131,131,"(1494, 889)","(1622, 964)","[1558.0, 926.5]","[1558.0, 889]","[1558.0, 964]","[1494, 926.5]","[1622, 926.5]","[105.76625170629808, 139]","[115.59628021696892, 138]","[153.82538802161366, 145]","[56.60830327787612, 132]",16
132,132,"(1641, 889)","(1716, 957)","[1678.5, 923.0]","[1678.5, 889]","[1678.5, 957]","[1641, 923.0]","[1716, 923.0]","[108.95985499256136, 133]","[60.400745028517655, 140]","[115.33646431202926, 139]","[154.0073050215476, 134]",16
133,133,"(1738, 889)","(1827, 954)","[1782.5, 921.5]","[1782.5, 889]","[1782.5, 954]","[1738, 921.5]","[1827, 921.5]","[93.34077351297235, 134]","[67.83251432757008, 140]","[163.01073584276588, 148]","[140.65027550630677, 135]",16
134,134,"(1847, 889)","(1893, 954)","[1870.0, 921.5]","[1870.0, 889]","[1870.0, 954]","[1847, 921.5]","[1893, 921.5]","[105.01071373912283, 135]","[87.95027003938078, 141]","[139.6862555872982, 140]","[160.5124605754955, 149]",16
135,135,"(1914, 902)","(2021, 954)","[1967.5, 928.0]","[1967.5, 902]","[1967.5, 954]","[1914, 928.0]","[2021, 928.0]","[96.6979834329548, 141]","[114.0175425099138, 142]","[155.7080601638849, 149]","[106.19910545762615, 136]",16
136,136,"(2045, 889)","(2209, 954)","[2127.0, 921.5]","[2127.0, 889]","[2127.0, 954]","[2045, 921.5]","[2209, 921.5]","[119.62963679623874, 142]","[87.00143676974535, 143]","[123.40583454602137, 141]","[47.542086618069256, 137]",16
137,137,"(2231, 889)","(2282, 950)","[2256.5, 919.5]","[2256.5, 889]","[2256.5, 950]","[2231, 919.5]","[2282, 919.5]","[117.84099456470994, 143]","[147.27525250360293, 195]","[175.0956881250935, 142]","[244.82646915723797, 160]",16
138,138,"(1397, 967)","(1496, 1022)","[1446.5, 994.5]","[1446.5, 967]","[1446.5, 1022]","[1397, 994.5]","[1496, 994.5]","[107.57439286372943, 139]","[58.180752831155424, 144]","[121.98053123347185, 145]","[121.35588160447766, 146]",16
139,139,"(1528, 964)","(1573, 1025)","[1550.5, 994.5]","[1550.5, 964]","[1550.5, 1025]","[1528, 994.5]","[1573, 994.5]","[122.73650638664928, 146]","[86.29745071553388, 145]","[132.7045590776745, 144]","[124.10177275123833, 147]",16
140,140,"(1607, 967)","(1847, 1019)","[1727.0, 993.0]","[1727.0, 967]","[1727.0, 1019]","[1607, 993.0]","[1847, 993.0]","[121.59461336753368, 148]","[90.53452380169678, 147]","[56.519907997094265, 139]","[99.28242543370907, 149]",16
141,141,"(1883, 971)","(2011, 1022)","[1947.0, 996.5]","[1947.0, 971]","[1947.0, 1022]","[1883, 996.5]","[2011, 996.5]","[113.13818983879847, 150]","[82.07313811473277, 149]","[125.40035885116119, 133]","[62.50199996800102, 142]",16
142,142,"(2042, 967)","(2105, 1025)","[2073.5, 996.0]","[2073.5, 967]","[2073.5, 1025]","[2042, 996.0]","[2105, 996.0]","[133.36603765576902, 143]","[112.72976536833562, 195]","[120.60368982746755, 150]","[165.22862948048683, 159]",16
143,143,"(2134, 964)","(2274, 1025)","[2204.0, 994.5]","[2204.0, 964]","[2204.0, 1025]","[2134, 994.5]","[2274, 994.5]","[112.66432443324727, 195]","[128.64000155472635, 160]","[171.86113580446278, 159]","[252.40493259839437, 167]",16
144,144,"(1392, 1046)","(1453, 1104)","[1422.5, 1075.0]","[1422.5, 1046]","[1422.5, 1104]","[1392, 1075.0]","[1453, 1075.0]","[70.27268317063182, 145]","[58.9788097540125, 151]","[156.35376554467757, 152]","[125.78751925370021, 146]",16
145,145,"(1457, 1042)","(1511, 1118)","[1484.0, 1080.0]","[1484.0, 1042]","[1484.0, 1118]","[1457, 1080.0]","[1511, 1080.0]","[103.21094903158289, 146]","[59.3000843169721, 152]","[86.80581777738172, 151]","[126.34575576567659, 153]",16
146,146,"(1523, 1049)","(1634, 1118)","[1578.5, 1083.5]","[1578.5, 1049]","[1578.5, 1118]","[1523, 1083.5]","[1634, 1083.5]","[89.13613184337763, 147]","[51.30789412946121, 153]","[82.07466113241041, 152]","[111.13617772804677, 154]",16
147,147,"(1641, 1042)","(1682, 1121)","[1661.5, 1081.5]","[1661.5, 1042]","[1661.5, 1121]","[1641, 1081.5]","[1682, 1081.5]","[112.36102527122117, 148]","[63.70635761052424, 153]","[108.40779492268994, 154]","[139.52060779684126, 155]",16
148,148,"(1694, 1063)","(1839, 1101)","[1766.5, 1082.0]","[1766.5, 1063]","[1766.5, 1101]","[1694, 1082.0]","[1839, 1082.0]","[102.15918950344114, 155]","[91.68560410446125, 154]","[113.61447971099459, 153]","[52.0, 149]",16
149,149,"(1851, 1046)","(1931, 1118)","[1891.0, 1082.0]","[1891.0, 1046]","[1891.0, 1118]","[1851, 1082.0]","[1931, 1082.0]","[77.65468434035387, 150]","[39.223717314910374, 156]","[95.27985096545859, 155]","[83.45208205910743, 157]",16
150,150,"(1938, 1042)","(1980, 1125)","[1959.0, 1083.5]","[1959.0, 1042]","[1959.0, 1125]","[1938, 1083.5]","[1980, 1083.5]","[114.31644676073518, 135]","[37.97696670351649, 157]","[92.76987657639737, 156]","[86.44362324659929, 158]",16
151,151,"(1395, 1142)","(1465, 1183)","[1430.0, 1162.5]","[1430.0, 1142]","[1430.0, 1183]","[1395, 1162.5]","[1465, 1162.5]","[92.53377761660873, 152]","[69.80150428178464, 161]","[161.59362611192313, 168]","[138.2868395762952, 146]",16
152,152,"(1482, 1138)","(1557, 1193)","[1519.5, 1165.5]","[1519.5, 1138]","[1519.5, 1193]","[1482, 1165.5]","[1557, 1165.5]","[92.79277989154113, 153]","[60.815294129026455, 161]","[154.8628425413921, 168]","[134.0755384102559, 147]",16
153,153,"(1569, 1131)","(1651, 1186)","[1610.0, 1158.5]","[1610.0, 1131]","[1610.0, 1186]","[1569, 1158.5]","[1651, 1158.5]","[102.31813133555558, 154]","[92.86684015298464, 162]","[120.7393887677091, 161]","[146.01369798755184, 155]",16
154,154,"(1663, 1135)","(1747, 1203)","[1705.0, 1169.0]","[1705.0, 1135]","[1705.0, 1203]","[1663, 1169.0]","[1747, 1169.0]","[95.46858121916341, 155]","[34.659053651246744, 162]","[143.54267658086914, 152]","[133.1859602210383, 156]",16
155,155,"(1760, 1135)","(1834, 1186)","[1797.0, 1160.5]","[1797.0, 1135]","[1797.0, 1186]","[1760, 1160.5]","[1834, 1160.5]","[85.00882307149064, 156]","[84.87638069569178, 163]","[101.84547118060773, 162]","[119.01680553602503, 157]",16
156,156,"(1847, 1128)","(1912, 1183)","[1879.5, 1155.5]","[1879.5, 1128]","[1879.5, 1183]","[1847, 1155.5]","[1912, 1155.5]","[81.19421161634615, 157]","[52.50952294584288, 163]","[109.00688051678206, 148]","[95.56411460375699, 164]",16
157,157,"(1926, 1125)","(1980, 1200)","[1953.0, 1162.5]","[1953.0, 1125]","[1953.0, 1200]","[1926, 1162.5]","[1980, 1162.5]","[79.2480283666414, 158]","[36.58209944768069, 164]","[92.69978425001862, 163]","[102.18243488975979, 165]",16
158,158,"(1992, 1125)","(2059, 1189)","[2025.5, 1157.0]","[2025.5, 1125]","[2025.5, 1189]","[1992, 1157.0]","[2059, 1157.0]","[73.18640584152223, 159]","[52.73755777432247, 165]","[81.11257609027098, 164]","[113.15697062046156, 166]",16
159,159,"(2069, 1121)","(2110, 1200)","[2089.5, 1160.5]","[2089.5, 1121]","[2089.5, 1200]","[2069, 1160.5]","[2110, 1160.5]","[98.48857801796105, 195]","[49.882361612096915, 165]","[103.62070256469023, 166]","[100.24470060806208, 160]",16
160,160,"(2141, 1128)","(2279, 1179)","[2210.0, 1153.5]","[2210.0, 1128]","[2210.0, 1179]","[2141, 1153.5]","[2279, 1153.5]","[64.92495668077107, 195]","[61.95562928419015, 167]","[82.00152437607487, 166]","[160.80111939908875, 176]",16
161,161,"(1395, 1203)","(1557, 1268)","[1476.0, 1235.5]","[1476.0, 1203]","[1476.0, 1268]","[1395, 1235.5]","[1557, 1235.5]","[117.04379522213043, 168]","[95.44108130150245, 169]","[162.83887742182455, 144]","[126.81088281373961, 170]",16
162,162,"(1571, 1203)","(1808, 1265)","[1689.5, 1234.0]","[1689.5, 1203]","[1689.5, 1265]","[1571, 1234.0]","[1808, 1234.0]","[118.68024266911489, 171]","[66.15512073906298, 170]","[85.70005834303731, 152]","[59.0, 163]",16
163,163,"(1825, 1207)","(1909, 1261)","[1867.0, 1234.0]","[1867.0, 1207]","[1867.0, 1261]","[1825, 1234.0]","[1909, 1234.0]","[103.098254107429, 164]","[70.88370757797591, 172]","[123.05385000072123, 171]","[102.35355391973451, 173]",16
164,164,"(1922, 1200)","(2011, 1268)","[1966.5, 1234.0]","[1966.5, 1200]","[1966.5, 1268]","[1922, 1234.0]","[2011, 1234.0]","[92.94218633107357, 165]","[62.36184731067546, 173]","[125.18985581907185, 172]","[91.53414663392017, 174]",16
165,165,"(2023, 1203)","(2083, 1265)","[2053.0, 1234.0]","[2053.0, 1203]","[2053.0, 1265]","[2023, 1234.0]","[2083, 1234.0]","[93.34077351297235, 166]","[52.69250421075089, 174]","[119.32413837945782, 173]","[112.7885189192588, 175]",16
166,166,"(2091, 1196)","(2190, 1275)","[2140.5, 1235.5]","[2140.5, 1196]","[2140.5, 1275]","[2091, 1235.5]","[2190, 1235.5]","[88.933964265628, 167]","[44.972213643537714, 175]","[92.35935253129485, 174]","[100.7670581092849, 176]",16
167,167,"(2199, 1203)","(2236, 1278)","[2217.5, 1240.5]","[2217.5, 1203]","[2217.5, 1278]","[2199, 1240.5]","[2236, 1240.5]","[115.74325034316256, 176]","[66.42665127793211, 175]","[135.61065592349297, 159]","[165.6208018335861, 204]",16
168,168,"(1395, 1282)","(1496, 1350)","[1445.5, 1316.0]","[1445.5, 1282]","[1445.5, 1350]","[1395, 1316.0]","[1496, 1316.0]","[115.12710367241938, 177]","[111.80898890518597, 169]","[169.90732768188664, 182]","[125.15790027001891, 178]",16
169,169,"(1513, 1292)","(1595, 1354)","[1554.0, 1323.0]","[1554.0, 1292]","[1554.0, 1354]","[1513, 1323.0]","[1595, 1323.0]","[101.7853132824181, 170]","[58.99576255969576, 178]","[92.10048859805251, 177]","[129.81236458827794, 162]",16
170,170,"(1610, 1285)","(1694, 1354)","[1652.0, 1319.5]","[1652.0, 1285]","[1652.0, 1354]","[1610, 1319.5]","[1694, 1319.5]","[84.62416912442922, 171]","[66.22877018335763, 179]","[88.74260532573967, 178]","[139.5573358874409, 180]",16
171,171,"(1706, 1285)","(1757, 1343)","[1731.5, 1314.0]","[1731.5, 1285]","[1731.5, 1343]","[1706, 1314.0]","[1757, 1314.0]","[111.24859549675223, 172]","[62.64982043070834, 179]","[133.41664064126334, 180]","[154.042202009709, 154]",16
172,172,"(1774, 1299)","(1897, 1350)","[1835.5, 1324.5]","[1835.5, 1299]","[1835.5, 1350]","[1774, 1324.5]","[1897, 1324.5]","[104.67688379007086, 180]","[84.03868156985806, 181]","[103.24001162340113, 179]","[52.61653732430518, 173]",16
173,173,"(1917, 1299)","(1982, 1357)","[1949.5, 1328.0]","[1949.5, 1299]","[1949.5, 1357]","[1917, 1328.0]","[1982, 1328.0]","[100.71370313914586, 174]","[54.61226968365259, 181]","[130.6330739131557, 180]","[127.72724846327819, 203]",16
174,174,"(1999, 1278)","(2098, 1357)","[2048.5, 1317.5]","[2048.5, 1278]","[2048.5, 1357]","[1999, 1317.5]","[2098, 1317.5]","[119.22457800302755, 175]","[58.05170109479997, 203]","[117.92370414806346, 181]","[136.18461733984495, 204]",16
175,175,"(2110, 1282)","(2214, 1347)","[2162.0, 1314.5]","[2162.0, 1282]","[2162.0, 1347]","[2110, 1314.5]","[2214, 1314.5]","[97.87364303018458, 176]","[70.0, 204]","[88.41097216974825, 203]","[161.0496817755316, 160]",16
176,176,"(2231, 1282)","(2279, 1343)","[2255.0, 1312.5]","[2255.0, 1282]","[2255.0, 1343]","[2231, 1312.5]","[2279, 1312.5]","[131.30879635424276, 204]","[143.82106938832015, 188]","[168.07290084960158, 203]","[230.5542235570626, 174]",16
177,177,"(1392, 1364)","(1523, 1429)","[1457.5, 1396.5]","[1457.5, 1364]","[1457.5, 1429]","[1392, 1396.5]","[1523, 1396.5]","[124.2427060233316, 182]","[94.92760399378044, 183]","[166.67633305301626, 189]","[62.01814250685037, 178]",16
178,178,"(1530, 1377)","(1639, 1432)","[1584.5, 1404.5]","[1584.5, 1377]","[1584.5, 1432]","[1530, 1404.5]","[1639, 1404.5]","[111.43720204671328, 183]","[97.72538053136452, 184]","[132.6018476492692, 182]","[62.83709095749102, 179]",16
179,179,"(1646, 1371)","(1757, 1425)","[1701.5, 1398.0]","[1701.5, 1371]","[1701.5, 1425]","[1646, 1398.0]","[1757, 1398.0]","[107.4860456059297, 184]","[107.2904935210944, 185]","[118.69709347747316, 169]","[51.03920062069938, 180]",16
180,180,"(1767, 1364)","(1849, 1436)","[1808.0, 1400.0]","[1808.0, 1364]","[1808.0, 1436]","[1767, 1400.0]","[1849, 1400.0]","[103.98196959088628, 181]","[44.5926002830066, 185]","[120.33494920429393, 184]","[112.78408575681235, 186]",16
181,181,"(1856, 1360)","(1960, 1425)","[1908.0, 1392.5]","[1908.0, 1360]","[1908.0, 1425]","[1856, 1392.5]","[1960, 1392.5]","[121.73844914405637, 186]","[125.47708954227461, 185]","[147.18186029535025, 171]","[127.72039774444801, 203]",16
182,182,"(1390, 1456)","(1457, 1511)","[1423.5, 1483.5]","[1423.5, 1456]","[1423.5, 1511]","[1390, 1483.5]","[1457, 1483.5]","[101.20523701864444, 189]","[118.39130035606502, 190]","[148.58415124097186, 183]","[157.77991000124192, 224]",16
183,183,"(1472, 1446)","(1605, 1511)","[1538.5, 1478.5]","[1538.5, 1446]","[1538.5, 1511]","[1472, 1478.5]","[1605, 1478.5]","[107.59414482210451, 190]","[106.26617523934885, 189]","[159.9515551659314, 224]","[67.6184146516317, 184]",16
184,184,"(1619, 1442)","(1726, 1507)","[1672.5, 1474.5]","[1672.5, 1442]","[1672.5, 1507]","[1619, 1474.5]","[1726, 1474.5]","[115.20959161458737, 191]","[125.28467583866751, 185]","[116.04309544302927, 190]","[160.59420911103862, 171]",16
185,185,"(1738, 1446)","(1851, 1511)","[1794.5, 1478.5]","[1794.5, 1446]","[1794.5, 1511]","[1738, 1478.5]","[1851, 1478.5]","[128.23123644416754, 172]","[102.25091686630492, 191]","[164.6283693656716, 171]","[77.51451476981585, 186]",16
186,186,"(1861, 1442)","(1996, 1518)","[1928.5, 1480.0]","[1928.5, 1442]","[1928.5, 1518]","[1861, 1480.0]","[1996, 1480.0]","[115.91807451816995, 173]","[41.28256290493603, 192]","[157.57696532171192, 172]","[68.72044819411468, 187]",16
187,187,"(2009, 1442)","(2120, 1507)","[2064.5, 1474.5]","[2064.5, 1442]","[2064.5, 1507]","[2009, 1474.5]","[2120, 1474.5]","[47.885279575251516, 203]","[51.53882032022076, 193]","[122.01741678957148, 192]","[81.52453618389987, 188]",16
188,188,"(2129, 1446)","(2274, 1507)","[2201.5, 1476.5]","[2201.5, 1446]","[2201.5, 1507]","[2129, 1476.5]","[2274, 1476.5]","[43.072613108563544, 204]","[56.5795899596312, 194]","[87.03160345529663, 203]","[196.9466932954194, 175]",16
189,189,"(1395, 1528)","(1489, 1583)","[1442.0, 1555.5]","[1442.0, 1528]","[1442.0, 1583]","[1395, 1555.5]","[1489, 1555.5]","[95.46858121916341, 190]","[61.077819214506995, 223]","[127.84561001457969, 224]","[178.66518967051192, 178]",16
190,190,"(1511, 1521)","(1557, 1586)","[1534.0, 1553.5]","[1534.0, 1521]","[1534.0, 1586]","[1511, 1553.5]","[1557, 1553.5]","[122.86679779338273, 224]","[128.6953767623375, 223]","[165.8651560756508, 177]","[144.5, 191]",16
191,191,"(1581, 1528)","(1822, 1579)","[1701.5, 1553.5]","[1701.5, 1528]","[1701.5, 1579]","[1581, 1553.5]","[1822, 1553.5]","[130.0, 179]","[191.49216694162715, 183]","[120.94833607784771, 224]","[98.62682190966106, 192]",16
192,192,"(1847, 1528)","(1994, 1589)","[1920.5, 1558.5]","[1920.5, 1528]","[1920.5, 1589]","[1847, 1558.5]","[1994, 1558.5]","[135.37448060842192, 185]","[149.15176834352317, 193]","[163.22760183253322, 180]","[184.02309637651464, 203]",16
193,193,"(2013, 1531)","(2120, 1586)","[2066.5, 1558.5]","[2066.5, 1531]","[2066.5, 1586]","[2013, 1558.5]","[2120, 1558.5]","[132.67252918370102, 203]","[147.8791736520055, 194]","[115.33646431202926, 186]","[115.61249932425127, 188]",16
194,194,"(2146, 1542)","(2279, 1583)","[2212.5, 1562.5]","[2212.5, 1542]","[2212.5, 1583]","[2146, 1562.5]","[2279, 1562.5]","[139.25964957589116, 204]","[183.51089885889613, 187]","[172.7092933226235, 203]","[251.14935795259362, 176]",16
195,195,"(2074, 1042)","(2277, 1104)","[2175.5, 1073.0]","[2175.5, 1042]","[2175.5, 1104]","[2074, 1073.0]","[2277, 1073.0]","[129.89418770676386, 136]","[136.07810257348535, 166]","[96.9961339435753, 158]","[177.75404355457007, 167]",16
196,196,"(416, 1398)","(498, 1449)","[457.0, 1423.5]","[457.0, 1398]","[457.0, 1449]","[416, 1423.5]","[498, 1423.5]","[106.51877768731671, 217]","[130.64838307457157, 216]","[161.23430156142334, 198]","[91.29211356957401, 205]",4
197,197,"(302, 1552)","(401, 1620)","[351.5, 1586.0]","[351.5, 1552]","[351.5, 1620]","[302, 1586.0]","[401, 1586.0]","[67.86199230791857, 216]","[39.15673632978111, 199]","[148.58415124097186, 198]","[84.64189270095513, 200]",4
198,198,"(430, 1545)","(471, 1617)","[450.5, 1581.0]","[450.5, 1545]","[450.5, 1617]","[430, 1581.0]","[471, 1581.0]","[44.384682042344295, 217]","[41.30375285612676, 200]","[113.17243480636087, 199]","[102.23746866975922, 201]",4
199,199,"(314, 1630)","(382, 1688)","[348.0, 1659.0]","[348.0, 1630]","[348.0, 1688]","[314, 1659.0]","[382, 1659.0]","[101.44086947576899, 200]","[59.10372238700368, 225]","[153.87169980214034, 233]","[146.44111444536333, 226]",4
200,200,"(408, 1624)","(483, 1692)","[445.5, 1658.0]","[445.5, 1624]","[445.5, 1692]","[408, 1658.0]","[483, 1658.0]","[97.67932227447118, 201]","[75.67198953377662, 226]","[87.19661690685024, 225]","[126.16754733290173, 202]",4
201,201,"(503, 1624)","(570, 1695)","[536.5, 1659.5]","[536.5, 1624]","[536.5, 1695]","[503, 1659.5]","[570, 1659.5]","[83.0451684326066, 202]","[55.509008277936296, 226]","[137.55453463990202, 227]","[108.93117092916977, 208]",4
202,202,"(592, 1630)","(626, 1699)","[609.0, 1664.5]","[609.0, 1630]","[609.0, 1699]","[592, 1664.5]","[626, 1664.5]","[60.58258825768341, 208]","[56.43580423808985, 227]","[115.61249932425127, 228]","[143.47212272772714, 226]",4
203,203,"(2050, 1364)","(2125, 1436)","[2087.5, 1400.0]","[2087.5, 1364]","[2087.5, 1436]","[2050, 1400.0]","[2125, 1400.0]","[122.85458884388487, 204]","[164.97575579460153, 186]","[166.02710622064097, 165]","[165.22862948048683, 166]",16
204,204,"(2129, 1377)","(2279, 1429)","[2204.0, 1403.0]","[2204.0, 1377]","[2204.0, 1429]","[2129, 1403.0]","[2279, 1403.0]","[155.09513209640076, 166]","[146.7327502638726, 187]","[167.59027418081277, 193]","[258.8653124696316, 160]",16
205,205,"(522, 1398)","(655, 1473)","[588.5, 1435.5]","[588.5, 1398]","[588.5, 1473]","[522, 1435.5]","[655, 1435.5]","[98.2980162566875, 218]","[124.90796611905904, 217]","[162.1187836125105, 198]","[94.79451460923254, 219]",4
206,206,"(672, 1395)","(981, 1466)","[826.5, 1430.5]","[826.5, 1395]","[826.5, 1466]","[672, 1430.5]","[981, 1430.5]","[122.05019459222504, 220]","[108.15035829806575, 219]","[83.64956664561987, 205]","[82.94727240844028, 221]",4
207,207,"(1047, 1415)","(1192, 1456)","[1119.5, 1435.5]","[1119.5, 1415]","[1119.5, 1456]","[1047, 1435.5]","[1192, 1435.5]","[90.85290309065527, 222]","[129.46234973921955, 211]","[93.76166594083107, 221]","[243.1295950722577, 215]",4
208,208,"(587, 1552)","(711, 1617)","[649.0, 1584.5]","[649.0, 1552]","[649.0, 1617]","[587, 1584.5]","[711, 1584.5]","[74.13669806512831, 218]","[120.16655108639841, 209]","[136.5448644219181, 198]","[85.0, 219]",4
209,209,"(740, 1548)","(786, 1610)","[763.0, 1579.0]","[763.0, 1548]","[763.0, 1610]","[740, 1579.0]","[786, 1579.0]","[61.4593361500106, 219]","[61.032778078668514, 212]","[137.90032632303667, 210]","[114.47707194019246, 220]",4
210,210,"(810, 1545)","(945, 1634)","[877.5, 1589.5]","[877.5, 1545]","[877.5, 1634]","[810, 1589.5]","[945, 1589.5]","[38.08214804865923, 220]","[45.59056920021947, 213]","[83.34416596259153, 212]","[91.00137361600648, 221]",4
211,211,"(976, 1555)","(1192, 1606)","[1084.0, 1580.5]","[1084.0, 1555]","[1084.0, 1606]","[976, 1580.5]","[1192, 1580.5]","[65.89764790946639, 222]","[76.13310712167211, 215]","[70.2157389763862, 221]","[186.49664876345634, 232]",4
212,212,"(740, 1634)","(824, 1702)","[782.0, 1668.0]","[782.0, 1634]","[782.0, 1702]","[740, 1668.0]","[824, 1668.0]","[117.81871667948178, 229]","[65.56866629724902, 230]","[102.8809992175426, 228]","[70.5141829705202, 213]",4
213,213,"(848, 1644)","(940, 1709)","[894.0, 1676.5]","[894.0, 1644]","[894.0, 1709]","[848, 1676.5]","[940, 1676.5]","[104.34557968596465, 214]","[63.50787352761861, 231]","[70.45920805686082, 230]","[142.89856542317, 238]",4
214,214,"(962, 1637)","(1030, 1695)","[996.0, 1666.0]","[996.0, 1637]","[996.0, 1695]","[962, 1666.0]","[1030, 1666.0]","[104.57652700295607, 211]","[76.72841716078861, 231]","[113.98464808911768, 210]","[96.06378089581942, 215]",4
215,215,"(1063, 1644)","(1189, 1695)","[1126.0, 1669.5]","[1126.0, 1644]","[1126.0, 1695]","[1063, 1669.5]","[1189, 1669.5]","[104.2461030446702, 232]","[129.26039610027505, 240]","[144.91549261552404, 231]","[175.15207677900938, 222]",4
216,216,"(309, 1456)","(355, 1518)","[332.0, 1487.0]","[332.0, 1456]","[332.0, 1518]","[309, 1487.0]","[355, 1487.0]","[143.75065217243363, 217]","[134.20599837563148, 198]","[176.36609651517495, 199]","[193.47157413945854, 200]",4
217,217,"(372, 1463)","(563, 1545)","[467.5, 1504.0]","[467.5, 1463]","[467.5, 1545]","[372, 1504.0]","[563, 1504.0]","[137.39905385409318, 218]","[115.12167476196652, 200]","[84.52366532516204, 197]","[117.7974957288991, 208]",4
